,Order Date,Sales
0,2014-01-31,14236.895
1,2014-02-28,4519.892
2,2014-03-31,55691.009
3,2014-04-30,28295.345
4,2014-05-31,23648.287
5,2014-06-30,34595.1276
6,2014-07-31,33946.393
7,2014-08-31,27909.4685
8,2014-09-30,81777.3508
9,2014-10-31,31453.393
10,2014-11-30,78628.7167
11,2014-12-31,69545.6205
12,2015-01-31,18174.0756
13,2015-02-28,11951.411
14,2015-03-31,38726.252
15,2015-04-30,34195.2085
16,2015-05-31,30131.6865
17,2015-06-30,24797.292
18,2015-07-31,28765.325
19,2015-08-31,36898.3322
20,2015-09-30,64595.918
21,2015-10-31,31404.9235
22,2015-11-30,75972.5635
23,2015-12-31,74919.5212
24,2016-01-31,18542.491
25,2016-02-29,22978.815000000002
26,2016-03-31,51715.875
27,2016-04-30,38750.039
28,2016-05-31,56987.728
29,2016-06-30,40344.534
30,2016-07-31,39261.963
31,2016-08-31,31115.3743
32,2016-09-30,73410.0249
33,2016-10-31,59687.745
34,2016-11-30,79411.9658
35,2016-12-31,96999.043
36,2017-01-31,43971.374
37,2017-02-28,20301.1334
38,2017-03-31,58872.3528
39,2017-04-30,36521.5361
40,2017-05-31,44261.1102
41,2017-06-30,52981.7257
42,2017-07-31,45264.416
43,2017-08-31,63120.888
44,2017-09-30,87866.652
45,2017-10-31,77776.9232
46,2017-11-30,118447.825
47,2017-12-31,83829.3188
